iter	AUC	Logloss
228	0.9794096947	0.1583294548
229	0.9794147015	0.1583124816
230	0.979419589	0.158284731
231	0.9794226885	0.158267882
232	0.979426384	0.1582476107
233	0.9794302583	0.1582269531
234	0.9794350266	0.1581964151
235	0.9794374108	0.1581880112
236	0.9794861674	0.1580758914
237	0.9794916809	0.1580590975
238	0.9794970751	0.1580411997
239	0.9795080423	0.158004452
240	0.9795109034	0.1579920326
241	0.9795150757	0.1579786472
242	0.9795187712	0.1579627089
243	0.9795264006	0.157939871
244	0.9795300364	0.1579192823
245	0.9795346856	0.1579023367
246	0.9795428514	0.1578748483
247	0.9795460701	0.157856302
248	0.9795478582	0.1578506166
249	0.9795508981	0.1578344024
250	0.9795531034	0.1578237078
251	0.9795582294	0.1578055893
252	0.9795593023	0.1577985654
253	0.97956568	0.1577765278
254	0.9795694351	0.1577635564
255	0.9795721471	0.1577506954
256	0.9795758128	0.1577351021
257	0.9795783758	0.1577252217
258	0.9795800447	0.1577152172
259	0.9795851111	0.1576957463
260	0.9795903563	0.1576793526
261	0.9795921445	0.1576734879
262	0.9795947671	0.1576641733
263	0.979601562	0.1576327798
264	0.9796034098	0.1576248451
265	0.9796087742	0.1576113217
266	0.9796094298	0.1576032767
267	0.9796211123	0.1575624444
268	0.9796223044	0.1575558069
269	0.979624629	0.1575403516
270	0.9796274304	0.1575260278
271	0.9796345234	0.1574990914
272	0.9796363115	0.1574934199
273	0.979640007	0.1574810281
274	0.9796435237	0.1574682085
275	0.9796450734	0.1574610328
276	0.9796486497	0.1574460191
277	0.9796513915	0.1574299152
278	0.9796557128	0.1574135078
279	0.9796630144	0.1573857296
280	0.9796662927	0.1573728962
281	0.9796751142	0.157346636
282	0.9796837568	0.1573164706
283	0.9796872735	0.1573013741
284	0.9796948135	0.1572788949
285	0.97969836	0.1572696907
286	0.97970438	0.1572494194
287	0.9797098637	0.1572301003
288	0.9797155261	0.1572085319
289	0.9797167182	0.1572031087
290	0.9797210693	0.1571901097
291	0.9797250032	0.1571745854
292	0.979726702	0.157165878
293	0.9797293544	0.1571506711
294	0.979734242	0.1571329113
295	0.9797380567	0.157122617
296	0.9797434807	0.1571058508
297	0.9797517657	0.1570748988
298	0.9797551036	0.1570596919
299	0.9797573686	0.1570502669
300	0.9797643125	0.1570269046
301	0.979771167	0.1570026177
302	0.979778111	0.1569757917
303	0.9797835946	0.1569567348
304	0.9797903001	0.156933469
305	0.9797959328	0.1569128252
306	0.9798030853	0.1568890903
307	0.9798045158	0.156882232
308	0.9798073769	0.1568711787
309	0.9798112512	0.1568518182
310	0.9798184037	0.1568328854
311	0.9798237085	0.1568169196
312	0.9798281193	0.1568027476
313	0.9798318148	0.1567882445
314	0.9798355699	0.1567722786
315	0.9798402786	0.1567555675
316	0.9798439145	0.1567413128
317	0.9798468947	0.1567289624
318	0.9798517823	0.1567135071
319	0.9798537493	0.1567059588
320	0.9798573852	0.1566845836
321	0.9798606038	0.1566729921
322	0.9798647761	0.1566635119
323	0.9798696041	0.1566472011
324	0.9798721671	0.1566368654
325	0.9798794389	0.1566172979
326	0.9798836708	0.1566079005
327	0.9798862934	0.1565950395
328	0.9798911214	0.1565766035
329	0.9798927307	0.1565726017
330	0.9798979759	0.1565547867
331	0.9799031019	0.1565407941
332	0.9799109995	0.1565164107
333	0.9799169302	0.1564968845
334	0.9799188972	0.1564900539
335	0.9799264073	0.1564668295
336	0.979929626	0.156455583
337	0.9799339771	0.1564386926
338	0.9799359441	0.156429309
339	0.9799370766	0.1564231959
340	0.9799394608	0.1564129568
341	0.9799429178	0.1563994886
342	0.9799464345	0.1563833571
343	0.979949832	0.1563710619
344	0.9799508452	0.1563643416
345	0.9799536467	0.1563551926
346	0.9799565673	0.1563450363
347	0.9799598455	0.1563330584
348	0.9799612761	0.1563274283
349	0.9799653292	0.1563132149
350	0.9799671173	0.1563069914
351	0.9799690843	0.1562971111
352	0.9799726605	0.1562846916
353	0.97997576	0.1562671664
354	0.9799806774	0.1562395539
355	0.9799824357	0.1562337029
356	0.9799878001	0.1562163295
357	0.9799949527	0.1561951889
358	0.9800013304	0.1561785745
359	0.9800038338	0.1561677833
360	0.9800049067	0.1561640161
361	0.980011344	0.1561335333
362	0.9800149202	0.1561201065
363	0.9800174236	0.1561053964
364	0.9800194502	0.1560973376
365	0.9800220132	0.1560811095
366	0.9800240993	0.1560718915
367	0.9800289273	0.1560555945
368	0.9800308347	0.1560473286
369	0.9800348878	0.1560348126
370	0.9800366163	0.1560257602
371	0.9800386429	0.1560202405
372	0.9800408483	0.1560071725
373	0.9800437689	0.1559962296
374	0.980048418	0.1559799601
375	0.9800503254	0.1559729086
376	0.980055511	0.1559550246
377	0.9800581336	0.1559458619
378	0.9800596833	0.1559395142
379	0.9800646305	0.1559242797
380	0.9800706506	0.1558939624
381	0.9800732136	0.1558851998
382	0.9800751805	0.1558781484
383	0.9800807238	0.1558598504
384	0.9800839424	0.1558489903
385	0.9800850749	0.1558448643
386	0.9800904393	0.1558248
387	0.9800933301	0.155811939
388	0.9800958633	0.1558030108
389	0.9800981879	0.1557927578
390	0.9801020622	0.1557805454
391	0.9801041484	0.1557702235
392	0.9801076055	0.1557586182
393	0.9801129103	0.1557364426
394	0.9801145792	0.1557296119
395	0.9801152349	0.1557267831
396	0.9801217318	0.1557074915
397	0.9801265001	0.1556883932
398	0.9801332355	0.1556656104
399	0.9801355004	0.1556558129
400	0.9801406264	0.1556371009
401	0.9801417589	0.155630905
402	0.980142653	0.1556260063
403	0.9801449776	0.1556144424
404	0.9801473022	0.1556038445
405	0.9801490307	0.1555946817
406	0.9801518321	0.1555827176
407	0.9801566899	0.15556907
408	0.9801603258	0.1555575062
409	0.9801608324	0.1555538079
410	0.9801648855	0.1555419819
411	0.9801690578	0.1555253536
412	0.9801723361	0.1555179986
413	0.9801743627	0.1555078836
414	0.9801820517	0.1554866602
415	0.9801844358	0.1554756207
416	0.9801857471	0.1554709841
417	0.9801902175	0.1554563154
418	0.9801923633	0.1554475252
419	0.9801964164	0.1554364995
420	0.9801997542	0.1554278611
421	0.9802023172	0.1554157176
422	0.9802030921	0.1554121574
423	0.9802050591	0.1554050783
424	0.9802063704	0.1554016285
425	0.9802078009	0.1553943562
426	0.9802119732	0.1553805568
427	0.9802179933	0.1553583123
428	0.9802221656	0.1553441127
429	0.9802269936	0.1553288644
430	0.9802308679	0.1553166934
431	0.9802381992	0.155292917
432	0.9802425504	0.155277103
433	0.9802462459	0.1552600607
434	0.9802507758	0.1552457784
435	0.9802562594	0.1552215191
436	0.9802590013	0.1552116939
437	0.9802652597	0.1551896287
438	0.9802686572	0.1551811145
439	0.9802709818	0.1551721449
440	0.9802731872	0.1551631064
441	0.9802753925	0.1551511561
442	0.9802766442	0.1551471681
443	0.980283618	0.1551246475
444	0.9802865982	0.1551104066
445	0.9802875519	0.1551057562
446	0.9802907705	0.15509284
447	0.9802932739	0.1550820489
448	0.9802971482	0.1550668833
449	0.9802988768	0.1550582863
450	0.9803026617	0.1550408991
451	0.9803083539	0.1550152185
452	0.9803091884	0.155012431
453	0.9803102016	0.1550071735
454	0.9803122282	0.1550016813
